iter	RMSE
267	33340.6592
268	33317.8377
269	33269.16119
270	33240.14027
271	33214.67433
272	33194.81411
273	33156.23719
274	33135.85398
275	33080.55424
276	33056.28266
277	33021.86448
278	32985.50681
279	32946.06288
280	32923.8439
281	32888.15393
282	32859.39187
283	32814.67738
284	32807.9486
285	32784.8645
286	32760.71182
287	32721.89933
288	32687.21817
289	32666.47772
290	32635.10717
291	32619.90885
292	32594.28396
293	32525.96842
294	32488.92902
295	32452.97823
296	32426.11708
297	32391.26587
298	32367.4567
299	32343.92606
300	32278.16472
301	32246.60352
302	32184.07436
303	32161.7015
304	32126.93677
305	32083.26196
306	32051.02239
307	32019.72338
308	31992.39121
309	31950.04135
310	31918.51678
311	31905.73697
312	31869.39703
313	31842.60219
314	31793.34897
315	31760.6241
316	31742.04765
317	31721.17341
318	31696.87245
319	31637.85358
320	31617.56827
321	31586.41959
322	31563.05496
323	31533.23924
324	31504.91496
325	31478.88843
326	31458.28089
327	31432.7503
328	31408.83542
329	31369.23082
330	31336.51123
331	31297.65486
332	31257.84506
333	31235.95681
334	31208.76028
335	31191.94516
336	31164.0189
337	31121.09799
338	31073.29704
339	31053.02385
340	31038.53361
341	31001.19242
342	30984.43671
343	30970.19591
344	30941.31946
345	30927.82229
346	30904.6319
347	30857.59817
348	30833.25748
349	30816.30932
350	30790.05292
351	30765.96988
352	30740.42223
353	30727.48762
354	30711.77466
355	30688.85186
356	30676.16134
357	30641.20592
358	30617.95747
359	30592.71427
360	30542.47766
361	30515.1165
362	30472.5973
363	30449.62311
364	30436.05108
365	30406.57041
366	30368.64043
367	30336.03932
368	30320.46141
369	30271.30345
370	30258.91069
371	30225.06245
372	30183.88473
373	30170.41342
374	30123.06541
375	30108.55251
376	30060.77851
377	30035.25069
378	30019.23932
379	29994.80359
380	29963.83295
381	29941.14122
382	29904.63893
383	29879.41432
384	29857.48545
385	29843.03994
386	29829.45612
387	29784.13417
388	29738.50357
389	29717.59091
390	29707.38744
391	29692.69274
392	29661.38013
393	29634.95853
394	29590.90073
395	29542.80361
396	29523.43378
397	29495.78162
398	29463.98936
399	29444.51868
400	29431.28467
401	29389.48279
402	29375.83162
403	29366.39423
404	29345.17964
405	29337.77539
406	29311.38346
407	29303.00561
408	29299.81284
409	29287.90893
410	29247.70986
411	29227.36537
412	29196.77261
413	29161.61682
414	29151.40444
415	29142.00831
416	29103.92818
417	29078.64945
418	29055.1495
419	29050.58145
420	29033.07852
421	28995.83065
422	28981.28356
423	28945.40512
424	28915.46559
425	28899.24433
426	28876.15065
427	28861.42913
428	28822.36867
429	28784.14726
430	28773.86908
431	28765.84705
432	28756.1287
433	28726.65289
434	28702.65319
435	28696.23459
436	28659.32242
437	28643.65503
438	28626.51377
439	28612.05846
440	28604.00219
441	28587.46175
442	28556.31154
443	28521.94303
444	28516.57313
445	28495.68539
446	28441.89703
447	28409.7568
448	28401.83798
449	28398.20922
450	28380.07464
451	28359.32121
452	28323.91704
453	28316.03114
454	28310.55338
455	28301.11658
456	28269.66615
457	28254.14185
458	28245.26819
459	28230.01433
460	28221.01706
461	28203.68163
462	28184.10597
463	28182.05462
464	28167.15959
465	28151.60322
466	28135.78159
467	28117.07277
468	28099.40231
469	28095.58757
470	28046.39465
471	28014.44392
472	28004.94097
473	27990.58303
474	27972.76797
475	27963.87694
476	27949.50652
477	27920.33489
478	27908.60895
479	27884.0934
480	27871.02335
481	27848.39237
482	27833.89734
483	27824.6479
484	27810.33536
485	27786.60623
486	27778.73726
487	27767.25952
488	27737.87043
489	27726.02884
490	27713.54137
491	27696.91359
492	27677.71829
493	27655.44787
494	27614.94689
495	27609.06433
496	27574.26866
497	27566.21719
498	27555.25054
499	27547.76202
500	27537.22386
501	27525.63233
502	27510.40885
503	27494.55217
504	27485.81216
505	27463.80397
506	27441.39513
507	27432.66622
508	27428.04086
509	27415.78548
510	27395.71542
511	27387.38751
512	27368.886
513	27353.13607
514	27348.11695
515	27332.03642
516	27305.65102
517	27277.02607
518	27259.38241
519	27242.54356
520	27231.56213
521	27210.79855
522	27205.08808
523	27201.33901
524	27193.5076
525	27169.31887
526	27149.47515
527	27138.61182
528	27124.37449
529	27086.90508
530	27067.6549
531	27044.25033
532	27008.9246
533	26978.01915
534	26954.15405
535	26949.6985
536	26943.86079
537	26937.32803
538	26935.75575
539	26910.12911
540	26889.53958
541	26860.50869
542	26840.85521
543	26822.83337
544	26812.11506
545	26800.13281
546	26790.39674
547	26754.56871
548	26738.94115
549	26729.31959
550	26723.52444
551	26717.5532
552	26701.13172
553	26679.99611
554	26676.31755
555	26663.45796
556	26654.41151
557	26635.92676
558	26623.63451
559	26601.65856
560	26573.00321
561	26564.16714
562	26556.7949
563	26539.38244
564	26532.84538
565	26516.18204
566	26503.49187
567	26490.06911
568	26457.97479
569	26430.73964
570	26427.80168
571	26407.9167
572	26395.62262
573	26386.71936
574	26362.09002
575	26346.88445
576	26343.41467
577	26335.65897
578	26330.07275
579	26310.39114
580	26297.35616
581	26282.19769
582	26271.20225
583	26269.17025
584	26260.8954
585	26249.66189
586	26232.88139
587	26220.6247
588	26212.81521
589	26188.99218
590	26180.60372
591	26173.69379
592	26158.44382
593	26152.85519
594	26144.36166
595	26124.91633
596	26114.53586
597	26098.33329
598	26070.41141
599	26061.13491
600	26053.63555
601	26046.60374
602	26031.92934
603	26018.32666
604	26012.81313
605	26003.56856
606	25983.93157
607	25972.0397
608	25952.76812
609	25946.88748
610	25944.52097
611	25936.13992
612	25924.94934
613	25921.20907
614	25906.59886
615	25893.389
616	25886.35359
617	25861.58686
618	25838.43359
619	25831.52683
620	25822.52307
621	25798.00724
622	25787.23494
623	25777.90292
624	25771.66748
625	25756.67077
626	25756.28577
627	25746.95852
628	25726.08907
629	25717.12835
630	25690.64665
631	25668.04177
632	25655.03314
633	25648.37941
634	25641.01687
635	25621.37152
636	25618.43884
637	25610.81962
638	25590.97508
639	25577.36921
640	25569.32911
641	25567.16281
642	25555.75789
643	25549.61681
644	25538.20536
645	25531.24776
646	25527.10623
647	25523.94152
648	25517.71264
649	25506.58113
650	25497.57167
651	25491.75195
652	25485.28373
653	25476.83857
654	25468.07245
655	25461.16565
656	25456.99682
657	25450.27817
658	25447.49007
659	25431.88843
660	25418.54177
661	25409.70462
662	25402.47159
663	25398.29758
664	25395.09064
665	25389.30229
666	25378.88159
667	25373.08669
668	25368.28414
669	25365.52743
670	25355.68836
671	25344.30733
672	25333.71304
673	25325.83273
674	25318.56149
675	25297.85991
676	25293.74949
677	25284.28731
678	25275.31768
679	25267.15784
680	25249.50236
681	25232.6258
682	25226.9635
683	25219.01638
684	25214.72441
685	25205.17541
686	25200.97612
687	25185.47479
688	25176.7876
689	25172.22776
690	25168.45097
691	25159.5143
692	25147.92821
693	25143.48609
694	25129.03695
695	25110.46031
696	25106.32096
697	25101.64711
698	25090.07205
699	25083.29714
700	25070.51002
701	25066.53056
702	25055.30513
703	25035.10768
704	25029.69659
705	25020.59886
706	25015.49902
707	24993.33998
708	24980.71874
709	24974.747
710	24967.25088
711	24965.31154
712	24961.26804
713	24952.0163
714	24937.5833
715	24934.35071
716	24916.64666
717	24911.82667
718	24909.07374
719	24900.30973
720	24894.90042
721	24889.78946
722	24883.04935
723	24868.46429
724	24864.89064
725	24856.21484
726	24845.90758
727	24831.22859
728	24827.12616
729	24817.46025
730	24803.88402
731	24798.08456
732	24792.22333
733	24788.12369
734	24774.624
735	24772.00791
736	24766.23896
737	24763.81829
738	24745.74047
739	24734.6549
740	24721.75068
741	24711.41616
742	24696.79338
743	24689.01323
744	24683.65221
745	24679.78113
746	24676.39541
747	24671.08006
748	24656.39791
749	24653.97174
750	24648.82016
751	24642.31525
752	24635.14542
753	24632.59867
754	24625.63751
755	24617.32313
756	24601.25947
757	24588.94941
758	24583.88154
759	24569.85809
760	24565.28377
761	24558.89892
762	24556.57725
763	24551.59028
764	24550.48587
765	24538.15144
766	24532.37495
767	24527.51942
768	24518.86411
769	24508.77661
770	24506.65003
771	24494.78181
772	24487.03858
773	24481.96468
774	24473.83127
775	24467.75849
776	24464.13664
777	24447.60154
778	24442.79191
779	24438.97269
780	24434.19724
781	24426.4426
782	24420.54091
783	24414.19619
784	24407.80897
785	24396.9874
786	24387.15131
787	24383.27704
788	24374.90288
789	24370.93745
790	24367.57681
791	24359.85403
792	24356.0002
793	24351.16663
794	24346.34179
795	24336.66905
796	24330.3673
797	24327.55145
798	24325.08084
799	24317.92906
800	24303.65446
801	24297.56092
802	24295.30804
803	24285.33747
804	24282.51048
805	24280.84139
806	24273.26176
807	24257.81479
808	24252.02119
809	24241.94874
810	24233.13243
811	24229.73603
812	24224.72471
813	24218.40143
814	24215.15696
815	24212.95234
816	24204.15314
817	24201.60662
818	24198.47701
819	24196.04958
820	24188.85536
821	24178.6444
822	24164.23001
823	24158.41185
824	24151.64572
825	24145.94802
826	24139.54564
827	24134.31475
828	24126.26018
829	24117.89266
830	24115.41358
831	24112.55928
832	24111.05673
833	24104.48428
834	24103.148
835	24098.79771
836	24092.12519
837	24086.87391
838	24085.32667
839	24079.9552
840	24077.70804
841	24072.51563
842	24067.44672
843	24062.55653
844	24057.80195
845	24053.95964
846	24049.22103
847	24045.14956
848	24042.07772
849	24040.46143
850	24022.35955
851	24017.47065
852	24011.47074
853	24007.51781
854	24001.23903
855	23996.6994
856	23992.68538
857	23988.40252
858	23978.69973
859	23965.23956
860	23963.68685
861	23959.77883
862	23944.64137
863	23942.08044
864	23939.3755
865	23936.56447
866	23935.17866
867	23926.55089
868	23923.15882
869	23919.80817
870	23917.21451
871	23907.06058
872	23902.53904
873	23888.09573
874	23884.9798
875	23880.56148
876	23877.29095
877	23875.6554
878	23873.48928
879	23868.72664
880	23859.51093
881	23849.71268
882	23847.84835
883	23844.45898
884	23842.76497
885	23836.9682
886	23832.72459
887	23829.29115
888	23828.01582
889	23823.0427
890	23817.7649
891	23811.66947
892	23808.05374
893	23799.83398
894	23786.85361
895	23777.50067
896	23773.39773
897	23770.14149
898	23763.55344
899	23759.40745
900	23756.68328
901	23755.71289
902	23751.31919
903	23748.63361
904	23744.70785
905	23741.8917
906	23737.59145
907	23735.32478
908	23733.61684
909	23725.132
910	23719.86859
911	23717.16647
912	23705.7825
913	23692.61032
914	23685.18643
915	23674.30183
916	23671.28846
917	23664.33582
918	23661.39778
919	23659.73464
920	23655.34141
921	23647.20258
922	23645.2155
923	23641.37418
924	23640.20473
925	23633.48617
926	23631.9841
927	23629.46082
928	23627.09424
929	23619.98305
930	23607.27319
931	23599.0419
932	23592.76609
933	23591.57875
934	23588.93224
935	23584.91012
936	23573.92844
937	23573.0835
938	23569.45045
939	23568.31145
940	23565.09547
941	23562.5893
942	23561.90372
943	23554.73349
944	23547.14204
945	23544.77436
946	23539.56153
947	23533.06067
948	23531.42072
949	23528.57941
950	23526.03538
951	23525.00938
952	23520.95029
953	23513.62851
954	23510.74002
955	23502.77628
956	23499.66062
957	23491.78356
958	23488.5037
959	23483.2099
960	23474.7984
961	23471.41178
962	23466.23843
963	23461.87593
964	23459.77178
965	23457.52454
966	23453.63137
967	23443.65884
968	23432.70055
969	23430.55995
970	23428.43071
971	23422.31027
972	23415.92092
973	23408.05635
974	23405.96605
975	23404.443
976	23401.58447
977	23392.30409
978	23387.95535
979	23384.6801
980	23382.96957
981	23379.6253
982	23376.60247
983	23373.25769
984	23369.75871
985	23367.16176
986	23359.62596
987	23357.75704
988	23351.9467
989	23341.45868
990	23340.2062
991	23335.47329
992	23333.2505
993	23331.31678
994	23328.58181
995	23324.80577
996	23320.76472
997	23318.70514
998	23315.83121
999	23311.35813
